,top-1,top-2,top-3,top-4,top-5,top-6,top-7,top-8,top-9,top-10
mean_cell_type_factorsfact_0,SMG_Serous: 0.92,Myoepithelial: 0.37,Neuroendocrine: 0.18,Schwann_Myelinating: 0.17,SMG_Duct: 0.17,Fibro_immune_recruiting: 0.13,NK_CD16hi: 0.11,Muscle_perivascular_immune_recruiting: 0.11,NK_CD11d: 0.11,B_plasma_IgA: 0.1
mean_cell_type_factorsfact_1,Muscle_smooth_pulmonary: 0.43,Muscle_airway: 0.25,Muscle_smooth_syst_arterial: 0.24,Erythrocyte: 0.17,Fibro_peribronchial: 0.13,Endothelia_Lymphatic: 0.13,Mast_cell: 0.1,Endothelia_vascular_venous_pulmonary: 0.083,Fibro_myofibroblast: 0.068,Macro_alveolar_metallothioneins: 0.06
mean_cell_type_factorsfact_2,Suprabasal: 0.82,Deuterosomal: 0.21,Basal: 0.17,DC_activated: 0.16,CD8_TRM: 0.13,NK_CD56bright: 0.13,Ionocyte_n_Brush: 0.13,DC_plasmacytoid: 0.11,B_naive: 0.11,Mast_cell: 0.1
mean_cell_type_factorsfact_3,Secretory_Goblet: 0.86,Ionocyte_n_Brush: 0.31,DC_2: 0.24,Dividing_AT2: 0.16,CD8_TRM: 0.14,Deuterosomal: 0.13,NK_CD56bright: 0.13,DC_activated: 0.12,Macro_AW_CX3CR1: 0.11,Secretory_Club: 0.1
mean_cell_type_factorsfact_4,Muscle_airway: 0.66,Muscle_smooth_pulmonary: 0.27,Muscle_smooth_syst_arterial: 0.19,NAF_perineurial: 0.18,NAF_endoneurial: 0.16,Secretory_Club: 0.14,Fibro_peribronchial: 0.14,Neuroendocrine: 0.14,Megakaryocyte: 0.13,CD4_EM_Effector: 0.095
mean_cell_type_factorsfact_5,Endothelia_vascular_arterial_systemic: 0.9,Endothelia_vascular_arterial_pulmonary: 0.55,Erythrocyte: 0.2,Endothelia_vascular_venous_pulmonary: 0.074,NAF_perineurial: 0.057,Muscle_smooth_syst_arterial: 0.036,Muscle_perivascular_immune_recruiting: 0.034,Megakaryocyte: 0.034,Endothelia_Lymphatic: 0.031,NAF_endoneurial: 0.031
mean_cell_type_factorsfact_6,B_plasma_IgA: 0.87,B_plasma_IgG: 0.46,B_plasmablast: 0.38,Macro_int: 0.25,Fibro_immune_recruiting: 0.21,Macro_CHIT1: 0.21,Macro_alveolar_metallothioneins: 0.2,Macro_AW_CX3CR1: 0.2,Mesothelia: 0.15,Macrophage_intermediate: 0.15
mean_cell_type_factorsfact_7,Fibro_myofibroblast: 0.78,Fibro_adventitial: 0.63,Macro_int: 0.55,CD4_naive_CM: 0.5,B_plasma_IgG: 0.43,Monocyte_CD14: 0.41,Muscle_pericyte_airway: 0.37,Fibro_immune_recruiting: 0.34,Macro_CHIT1: 0.33,Endothelia_Lymphatic: 0.33
mean_cell_type_factorsfact_8,Endothelia_vascular_venous_systemic: 0.86,Muscle_pericyte_airway: 0.42,Endothelia_vascular_venous_pulmonary: 0.33,Endothelia_Lymphatic: 0.3,CD4_naive_CM: 0.27,Muscle_perivascular_immune_recruiting: 0.19,Monocyte_CD14: 0.14,B_memory: 0.14,Monocyte_CD16: 0.12,DC_1: 0.12
mean_cell_type_factorsfact_9,Fibro_perichondrial: 0.94,Chondrocyte: 0.56,Fibro_peribronchial: 0.18,Fibro_adventitial: 0.042,Secretory_Club: 0.032,NAF_endoneurial: 0.022,NAF_perineurial: 0.02,Megakaryocyte: 0.018,SMG_Basal: 0.015,Endothelia_vascular_venous_systemic: 0.012
