,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8
AT1,0.04200807855234389,0.0,0.2790257118600479,0.24280201229485537,0.20140097961886175,0.12865194410166433,0.03790785583691583,0.06820341773531104,0.0
AT2,0.04576085645415888,0.0,0.1954217759297127,0.20603276998365513,0.2960400760955858,0.07689251305854007,0.1177936160074974,0.06205839247085008,0.0
B_memory,0.05707275547121097,0.02269851986427585,0.0805292890983883,0.12929773667834496,0.4833526407229435,0.04901471491269891,0.05532660727763316,0.0934151673881509,0.02929256858635346
B_naive,0.09210167980270945,0.10467184994995549,0.08255268024249329,0.1733982339180603,0.17380097598692815,0.052173784060107996,0.0882930143277766,0.1815911886840074,0.05141659302796149
B_plasma_IgA,0.10916802115973365,0.0,0.006588685237075015,0.0,0.0,0.0,0.0,0.0,0.8842432936031914
B_plasma_IgG,0.0,0.0018012421629343908,0.0,0.0005731227863115291,0.5017647275026917,0.0,0.0,0.006574913985828419,0.4892859935622339
B_plasmablast,0.0,0.0,0.0,0.0,0.3519761284533324,0.0,0.17754946362663465,0.0,0.470474407920033
Basal,0.0036707363319319498,0.0,0.005346401015355756,0.8706540703453882,0.0,0.004220157189651363,0.004736621566703411,0.11137201355096935,0.0
CD4_EM_Effector,0.09891713688409644,0.0642636441001804,0.1517108291443975,0.13017397478162454,0.16455532255969196,0.1053607647943198,0.08763825592052131,0.1407332715175561,0.05664680029761188
CD4_TRM,0.10726572004989626,0.07483114963006401,0.12817876578024445,0.1240764828203136,0.17034678395652936,0.0895994630750374,0.09553798548047508,0.14005299009647224,0.07011065911096762
CD4_naive_CM,0.0,0.0,0.03243488449276247,0.03955989606309531,0.8791024845609989,0.0381628649829203,0.0,0.010739869900223104,0.0
CD8_EM,0.09944897721667617,0.08314389778803251,0.12589101670845837,0.13950775740361226,0.1600319072650372,0.08639516477361261,0.0902071481778722,0.15608882649384298,0.059285304172855734
CD8_EM_EMRA,0.11170695653895375,0.0,0.10373184569698397,0.07342971061804404,0.3644216046868568,0.07331666317169057,0.11830651377857891,0.04981893540282959,0.10526777010606224
CD8_TRM_EM,0.09651308457883652,0.12175052883005617,0.10070929749878234,0.1697929003048771,0.10685187338411246,0.06507198487404159,0.08697045402239606,0.1970388169312864,0.05530105957561152
CD8_TRM,0.05361324699894606,0.2029928796299917,0.09144841068792314,0.2249717706697288,0.030533770592772642,0.05857574947905873,0.03350534181556512,0.2800071050659787,0.024351725060035127
Chondrocyte,0.3259572081393596,0.0,0.2121009988944691,0.027192046900423514,0.20797408522494729,0.06001063090267049,0.09804696722629304,0.068718062711837,0.0
Ciliated,5.848291138351355e-05,0.07972877713665434,0.003457298638587649,0.009137992527830516,0.0030275056952404765,0.0,0.009357432392737466,0.8952325106975659,0.0
DC_1,0.06433249036876793,0.1282483175846521,0.02020786379108839,0.1353463935555185,0.31509634647126117,0.011598364438416326,0.19139577099847235,0.08535977036760022,0.04841468242422301
DC_2,0.035559460388640225,0.3417393879340608,0.0,0.19955270443007944,0.1465387919012739,0.005205851657378491,0.08752425657578279,0.1409543053516787,0.04292524176110571
